x, y
6.127583453521795e-11, 1.0570722772870853e-16
6.622343032777418e-11, 1.4062794334618364e-13
2.8612113235926646e-10, 2.3959435634986387e-13
1.6565168182864897e-9, 1.0338625640975417e-16
